Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
x0000-2c6-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,2118.80,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,2118.80,,true,,,active
x0000-20w-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1667.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1667.60,,true,,,active
x0000-206-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1667.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1667.60,,true,,,active
x0000-0cw-00,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1299.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1299.10,,true,,,active
nkty9-sbb-33,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1715.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1715.70,,true,,,active
nkty7-sbb-33,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1502.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1502.10,,true,,,active
nkty5-sbb-33,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1288.40,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1288.40,,true,,,active
nksi9-sbb-21,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1559.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1559.00,,true,,,active
nksi7-sbb-21,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1384.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1384.60,,true,,,active
nksi5-sbb-21,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1210.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1210.10,,true,,,active
nkma9-sbb-34,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1683.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1683.10,,true,,,active
nkma7-sbb-34,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1477.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1477.60,,true,,,active
nkma5-sbb-34,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1272.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1272.20,,true,,,active
nkla9-sbb-47,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1441.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1441.10,,true,,,active
nkla7-sbb-47,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1296.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1296.10,,true,,,active
nkla5-sbb-47,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1151.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1151.20,,true,,,active
nkfr9-sbb-02,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1649.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1649.70,,true,,,active
